Time,Operator,Technology,SS-RSRP,SS-RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
39:43.5,SGP-M1,5G-NR,-90.9,-12.4,0,0.003,1.299879,103.781448,695,8
39:44.0,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.322,1.299879,103.781448,695,8
39:44.0,SGP-M1,5G-NR,-91.2,-12.4,29.905,0.817,1.299909,103.781454,695,9
39:44.1,SGP-M1,5G-NR,-91.2,-12.4,29.905,5.61,1.299909,103.781454,695,9
39:44.1,SGP-M1,5G-NR,-91.2,-12.4,29.905,2.451,1.299909,103.781454,695,9
39:44.5,SGP-M1,5G-NR,-89.6,-12.9,29.892,24.845,1.299909,103.781454,695,9
39:45.0,SGP-M1,5G-NR,-88.7,-12.4,29.923,30.782,1.299925,103.78146,695,9
39:45.5,SGP-M1,5G-NR,-88.7,-12.4,29.878,30.751,1.299954,103.781478,695,9
39:46.0,SGP-M1,5G-NR,-86.2,-11.6,29.887,30.347,1.299954,103.781478,695,9
39:46.6,SGP-M1,5G-NR,-89.9,-12.7,29.907,29.716,1.299968,103.78149,695,11
39:47.1,SGP-M1,5G-NR,-91.6,-14.1,30.722,30.868,1.299993,103.781515,695,10
39:47.6,SGP-M1,5G-NR,-96.2,-15.6,30.072,31.473,1.30003,103.781513,695,9
39:48.0,SGP-M1,5G-NR,-91.7,-13,29.609,30.189,1.300066,103.78151,695,9
39:49.0,SGP-M1,5G-NR,-93.4,-12.2,29.977,29.934,1.300066,103.78151,695,9
39:49.5,SGP-M1,5G-NR,-89.1,-11.9,29.749,30.537,1.300091,103.781511,695,7
39:50.0,SGP-M1,5G-NR,-90.5,-11.5,29.942,29.789,1.300091,103.781511,695,7
39:50.5,SGP-M1,5G-NR,-89.8,-13.5,29.802,31.024,1.300097,103.781498,695,7
39:51.0,SGP-M1,5G-NR,-88,-12.5,29.901,30.866,1.300115,103.781494,695,7
39:51.6,SGP-M1,5G-NR,-89,-13.9,29.869,29.991,1.300115,103.781494,695,7
39:52.1,SGP-M1,5G-NR,-91.2,-14.1,29.923,29.773,1.300139,103.781484,695,9
39:53.0,SGP-M1,5G-NR,-89.9,-15.9,30.158,31.534,1.300139,103.781484,695,9
39:53.5,SGP-M1,5G-NR,-87.7,-17.9,29.339,28.499,1.300172,103.781472,695,11
