Time,Operator,Technology,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI​ (PCell),Speed o.g.
2024-11-22 11:39:43.476,SGP-M1,5G-NR,-90.9,-12.4,0.0,0.003,1.299879,103.781448,695.0,8.0
2024-11-22 11:39:44.003,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.322,1.299879,103.781448,695.0,8.0
2024-11-22 11:39:44.040,SGP-M1,5G-NR,-91.2,-12.4,29.905,0.817,1.299909,103.781454,695.0,9.0
2024-11-22 11:39:44.055,SGP-M1,5G-NR,-91.2,-12.4,29.905,5.61,1.299909,103.781454,695.0,9.0
2024-11-22 11:39:44.064,SGP-M1,5G-NR,-91.2,-12.4,29.905,2.451,1.299909,103.781454,695.0,9.0
2024-11-22 11:39:44.501,SGP-M1,5G-NR,-89.6,-12.9,29.892,24.845,1.299909,103.781454,695.0,9.0
2024-11-22 11:39:45.001,SGP-M1,5G-NR,-88.7,-12.4,29.923,30.782,1.299925,103.78146,695.0,9.0
2024-11-22 11:39:45.529,SGP-M1,5G-NR,-88.7,-12.4,29.878,30.751,1.299954,103.781478,695.0,9.0
2024-11-22 11:39:46.032,SGP-M1,5G-NR,-86.2,-11.6,29.887,30.347,1.299954,103.781478,695.0,9.0
2024-11-22 11:39:46.552,SGP-M1,5G-NR,-89.9,-12.7,29.907,29.716,1.299968,103.78149,695.0,11.0
2024-11-22 11:39:47.060,SGP-M1,5G-NR,-91.6,-14.1,30.722,30.868,1.299993,103.781515,695.0,10.0
2024-11-22 11:39:47.570,SGP-M1,5G-NR,-96.2,-15.6,30.072,31.473,1.30003,103.781513,695.0,9.0
2024-11-22 11:39:48.049,SGP-M1,5G-NR,-91.7,-13.0,29.609,30.189,1.300066,103.78151,695.0,9.0
2024-11-22 11:39:48.963,SGP-M1,5G-NR,-93.4,-12.2,29.977,29.934,1.300066,103.78151,695.0,9.0
2024-11-22 11:39:49.464,SGP-M1,5G-NR,-89.1,-11.9,29.749,30.537,1.300091,103.781511,695.0,7.0
2024-11-22 11:39:50.000,SGP-M1,5G-NR,-90.5,-11.5,29.942,29.789,1.300091,103.781511,695.0,7.0
2024-11-22 11:39:50.500,SGP-M1,5G-NR,-89.8,-13.5,29.802,31.024,1.300097,103.781498,695.0,7.0
