Time,Operator,Technology,RSRP,RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
2024-11-22 12:16:52.487,SGP-M1,5G-NR,-78.9,-11.1,0.0,0.002,1.292166,103.809752,705.0,5.0
2024-11-22 12:16:53.001,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.116,1.292166,103.809752,705.0,5.0
2024-11-22 12:16:53.176,SGP-M1,5G-NR,-77.6,-11.1,0.002,0.203,1.292165,103.809764,705.0,4.0
2024-11-22 12:16:53.544,SGP-M1,5G-NR,-81.0,-11.2,0.003,0.092,1.292165,103.809764,705.0,4.0
2024-11-22 12:16:54.045,SGP-M1,5G-NR,-81.3,-10.8,0.002,0.125,1.292163,103.809792,705.0,12.0
2024-11-22 12:16:54.557,SGP-M1,5G-NR,-80.7,-10.7,0.003,0.115,1.292162,103.809806,705.0,11.0
2024-11-22 12:16:55.055,SGP-M1,5G-NR,-80.8,-10.7,0.002,0.145,1.292161,103.809819,705.0,10.0
2024-11-22 12:16:55.905,SGP-M1,5G-NR,-81.3,-11.2,0.003,0.117,1.292161,103.809819,705.0,10.0
2024-11-22 12:16:56.064,SGP-M1,5G-NR,-84.5,-11.2,0.002,0.13,1.292156,103.809843,705.0,8.0
2024-11-22 12:16:57.001,SGP-M1,5G-NR,-81.4,-10.9,0.002,0.118,1.292156,103.809843,705.0,8.0
2024-11-22 12:16:57.501,SGP-M1,5G-NR,-75.5,-10.5,0.003,0.147,1.292151,103.809867,705.0,9.0
2024-11-22 12:16:58.026,SGP-M1,5G-NR,-80.2,-10.8,0.002,0.142,1.292145,103.809888,705.0,8.0
2024-11-22 12:16:58.626,SGP-M1,5G-NR,-81.3,-11.3,0.002,0.133,1.292145,103.809888,705.0,8.0
2024-11-22 12:16:59.131,SGP-M1,5G-NR,-79.9,-10.8,0.003,0.117,1.292139,103.809918,705.0,11.0
2024-11-22 12:17:00.018,SGP-M1,5G-NR,-85.4,-11.5,0.002,0.132,1.292131,103.809927,705.0,4.0
2024-11-22 12:17:00.553,SGP-M1,5G-NR,-81.7,-10.8,0.003,0.124,1.292131,103.809927,705.0,4.0
2024-11-22 12:17:01.160,SGP-M1,5G-NR,-86.0,-11.4,0.003,0.128,1.292122,103.809929,705.0,3.0
2024-11-22 12:17:02.053,SGP-M1,5G-NR,-84.0,-11.0,0.003,0.103,1.29212,103.809943,705.0,5.0
2024-11-22 12:17:02.680,SGP-M1,5G-NR,-87.7,-11.6,0.226,0.344,1.29212,103.809943,705.0,5.0
2024-11-22 12:17:03.200,SGP-M1,5G-NR,-89.0,-11.7,0.027,0.141,1.292122,103.809953,705.0,3.0
2024-11-22 12:17:04.000,SGP-M1,5G-NR,-89.6,-11.8,0.002,0.092,1.292122,103.809953,705.0,3.0
2024-11-22 12:17:04.479,SGP-M1,5G-NR,-84.0,-11.5,0.002,0.109,1.292133,103.809959,705.0,5.0
2024-11-22 12:17:05.016,SGP-M1,5G-NR,-86.2,-12.7,0.002,0.109,1.292151,103.809965,705.0,4.0
2024-11-22 12:17:05.571,SGP-M1,5G-NR,-84.6,-12.2,0.003,0.138,1.292151,103.809965,705.0,4.0
2024-11-22 12:17:06.073,SGP-M1,5G-NR,-84.1,-12.2,0.002,0.118,1.292169,103.80997,705.0,3.0
2024-11-22 12:17:06.680,SGP-M1,5G-NR,-87.5,-12.3,0.003,0.124,1.292169,103.80997,705.0,3.0
2024-11-22 12:17:07.200,SGP-M1,5G-NR,-84.2,-11.5,0.002,0.131,1.292183,103.809973,705.0,2.0
2024-11-22 12:17:08.001,SGP-M1,5G-NR,-84.9,-11.6,0.003,0.127,1.292188,103.809974,705.0,2.0
2024-11-22 12:17:08.500,SGP-M1,5G-NR,-85.7,-12.3,0.002,0.124,1.292194,103.809974,705.0,2.0
2024-11-22 12:17:09.019,SGP-M1,5G-NR,-75.9,-10.9,0.003,0.137,1.292203,103.809974,705.0,1.0
2024-11-22 12:17:09.597,SGP-M1,5G-NR,-77.2,-11.2,0.002,0.133,1.292203,103.809974,705.0,1.0
2024-11-22 12:17:10.113,SGP-M1,5G-NR,-79.3,-11.2,0.003,0.131,1.292206,103.809972,705.0,0.0
2024-11-22 12:17:10.720,SGP-M1,5G-NR,-79.1,-11.3,0.002,0.16,1.292206,103.809972,705.0,0.0
2024-11-22 12:17:11.259,SGP-M1,5G-NR,-86.7,-13.6,0.003,0.146,1.292211,103.80997,705.0,0.0
2024-11-22 12:17:12.000,SGP-M1,5G-NR,-81.5,-11.1,0.003,0.151,1.292211,103.80997,705.0,0.0
2024-11-22 12:17:12.311,SGP-M1,5G-NR,-80.1,-11.1,0.003,0.141,1.292214,103.809969,640.0,0.0
2024-11-22 12:17:13.004,SGP-M1,5G-NR,-80.3,-11.1,0.002,0.089,1.292214,103.809969,640.0,0.0
2024-11-22 12:17:13.838,SGP-M1,5G-NR,-81.9,-11.6,0.002,0.095,1.292215,103.809969,640.0,0.0
2024-11-22 12:17:14.347,SGP-M1,5G-NR,-85.6,-13.9,0.003,0.076,1.292215,103.80997,640.0,0.0
2024-11-22 12:17:15.025,SGP-M1,5G-NR,-86.4,-14.2,0.002,0.085,1.292217,103.809971,640.0,0.0
2024-11-22 12:17:16.018,SGP-M1,5G-NR,-78.6,-10.9,0.002,0.06,1.292219,103.809971,705.0,0.0
2024-11-22 12:17:16.558,SGP-M1,5G-NR,-79.2,-11.2,0.002,0.12,1.292219,103.809971,705.0,0.0
2024-11-22 12:17:17.068,SGP-M1,5G-NR,-80.6,-11.6,0.003,0.096,1.29222,103.809971,705.0,0.0
2024-11-22 12:17:18.021,SGP-M1,5G-NR,-77.1,-11.0,0.002,0.116,1.292219,103.809972,705.0,0.0
2024-11-22 12:17:18.598,SGP-M1,5G-NR,-78.8,-10.9,0.002,0.129,1.292219,103.809972,705.0,0.0
2024-11-22 12:17:19.078,SGP-M1,5G-NR,-78.0,-11.0,0.003,0.124,1.292216,103.809972,705.0,1.0
2024-11-22 12:17:20.000,SGP-M1,5G-NR,-76.5,-10.9,0.003,0.149,1.292216,103.809972,705.0,1.0
2024-11-22 12:17:20.500,SGP-M1,5G-NR,-75.6,-10.7,0.002,0.156,1.292211,103.809969,705.0,1.0
2024-11-22 12:17:21.024,SGP-M1,5G-NR,-76.3,-10.8,0.003,0.128,1.292208,103.809967,705.0,1.0
2024-11-22 12:17:21.598,SGP-M1,5G-NR,-75.1,-10.8,0.002,0.133,1.292208,103.809967,705.0,1.0
2024-11-22 12:17:22.105,SGP-M1,5G-NR,-75.1,-10.9,0.003,0.101,1.292205,103.809965,705.0,1.0
2024-11-22 12:17:22.638,SGP-M1,5G-NR,-76.1,-10.8,0.002,0.129,1.292205,103.809965,705.0,1.0
2024-11-22 12:17:23.500,SGP-M1,5G-NR,-74.6,-10.6,0.003,0.133,1.292203,103.809965,705.0,0.0
2024-11-22 12:17:24.109,SGP-M1,5G-NR,-78.4,-10.8,0.003,0.145,1.292204,103.809965,705.0,0.0
2024-11-22 12:17:24.678,SGP-M1,5G-NR,-77.7,-11.0,0.002,0.125,1.292204,103.809965,705.0,0.0
2024-11-22 12:17:25.500,SGP-M1,5G-NR,-78.6,-11.3,0.002,0.125,1.292205,103.809964,705.0,0.0
2024-11-22 12:17:26.188,SGP-M1,5G-NR,-77.8,-10.8,0.002,0.122,1.292205,103.809964,705.0,0.0
2024-11-22 12:17:27.015,SGP-M1,5G-NR,-75.5,-10.7,0.003,0.114,1.29221,103.809964,705.0,1.0
2024-11-22 12:17:27.640,SGP-M1,5G-NR,-76.5,-10.8,0.002,0.143,1.29221,103.809964,705.0,1.0
2024-11-22 12:17:28.147,SGP-M1,5G-NR,-80.1,-11.5,0.003,0.136,1.292214,103.809966,705.0,1.0
2024-11-22 12:17:28.748,SGP-M1,5G-NR,-78.5,-11.1,0.002,0.121,1.292214,103.809966,705.0,1.0
2024-11-22 12:17:29.258,SGP-M1,5G-NR,-79.4,-10.9,0.003,0.138,1.292218,103.809968,705.0,1.0
2024-11-22 12:17:30.000,SGP-M1,5G-NR,-76.1,-10.8,0.003,0.134,1.292218,103.809968,705.0,1.0
2024-11-22 12:17:30.500,SGP-M1,5G-NR,-78.5,-11.0,0.002,0.13,1.292222,103.809969,705.0,1.0
2024-11-22 12:17:31.035,SGP-M1,5G-NR,-84.6,-11.7,0.003,0.135,1.292224,103.80997,705.0,0.0
2024-11-22 12:17:31.690,SGP-M1,5G-NR,-87.8,-12.6,0.002,0.11,1.292224,103.80997,705.0,0.0
2024-11-22 12:17:32.298,SGP-M1,5G-NR,-89.7,-11.8,0.002,0.127,1.292224,103.809972,705.0,0.0
2024-11-22 12:17:33.001,SGP-M1,5G-NR,-83.8,-11.3,0.002,0.101,1.292224,103.809972,705.0,0.0
2024-11-22 12:17:33.500,SGP-M1,5G-NR,-81.6,-11.6,0.003,0.125,1.292223,103.809972,705.0,0.0
2024-11-22 12:17:34.026,SGP-M1,5G-NR,-85.4,-11.8,0.018,0.162,1.292222,103.809972,705.0,0.0
2024-11-22 12:17:34.710,SGP-M1,5G-NR,-90.6,-11.8,0.035,0.237,1.292222,103.809972,705.0,0.0
2024-11-22 12:17:35.230,SGP-M1,5G-NR,-83.5,-12.0,0.002,0.156,1.292221,103.809971,705.0,0.0
2024-11-22 12:17:35.818,SGP-M1,5G-NR,-83.1,-12.2,0.003,0.339,1.292221,103.809971,705.0,0.0
2024-11-22 12:17:36.338,SGP-M1,5G-NR,-81.5,-11.6,0.443,0.425,1.29222,103.80997,705.0,0.0
