Time,Time,Operator,Technology,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),IP Thrpt UL,Network Thrpt UL,Lat,Long,Cell Id,PCI​ (PCell),Speed o.g.
2024-11-22 11:39:38.053,,SGP-M1,,,,,,,,,,
2024-11-22 11:39:38.053,,SGP-M1,5G-NR,,,,,,,,,
2024-11-22 11:39:41.940,,SGP-M1,5G-NR,-94.9,-13.1,,,,,,695,
2024-11-22 11:39:42.100,,SGP-M1,5G-NR,-99.9,-15.2,,,,,,695,
2024-11-22 11:39:42.590,,SGP-M1,5G-NR,-97.8,-15.3,,,,,,695,
2024-11-22 11:39:42.884,,SGP-M1,5G-NR,-91.8,-12.2,,,,,,695,
2024-11-22 11:39:43.000,,SGP-M1,5G-NR,-91.8,-12.2,0.0,,,,,695,
2024-11-22 11:39:43.204,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,,,,695,
2024-11-22 11:39:43.288,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299839,103.781494,,695,0
2024-11-22 11:39:43.288,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299838,103.781492,,695,0
2024-11-22 11:39:43.288,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299839,103.781491,,695,0
2024-11-22 11:39:43.288,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299839,103.781489,,695,0
2024-11-22 11:39:43.288,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299841,103.781485,,695,1
2024-11-22 11:39:43.302,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299843,103.781480,,695,1
2024-11-22 11:39:43.302,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299843,103.781473,,695,2
2024-11-22 11:39:43.302,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299843,103.781464,,695,2
2024-11-22 11:39:43.302,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299844,103.781455,,695,2
2024-11-22 11:39:43.302,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299842,103.781450,,695,0
2024-11-22 11:39:43.319,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299841,103.781449,,695,0
2024-11-22 11:39:43.319,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299852,103.781449,,695,0
2024-11-22 11:39:43.319,,SGP-M1,5G-NR,-90.9,-12.4,0.0,,1.299879,103.781448,,695,8
2024-11-22 11:39:43.476,,SGP-M1,5G-NR,-90.9,-12.4,0.0,0.003,1.299879,103.781448,,695,8
2024-11-22 11:39:43.501,,SGP-M1,5G-NR,-90.9,-12.4,0.146,0.003,1.299879,103.781448,,695,8
2024-11-22 11:39:43.902,,SGP-M1,5G-NR,-90.9,-12.4,0.146,,1.299879,103.781448,,695,8
2024-11-22 11:39:43.941,,SGP-M1,5G-NR,-91.2,-12.4,0.146,,1.299879,103.781448,,695,8
2024-11-22 11:39:43.944,,SGP-M1,5G-NR,-91.2,-12.4,0.146,20.499,1.299879,103.781448,,695,8
2024-11-22 11:39:43.955,,SGP-M1,5G-NR,-91.2,-12.4,0.146,,1.299879,103.781448,,695,8
2024-11-22 11:39:44.000,,SGP-M1,5G-NR,-91.2,-12.4,29.905,,1.299879,103.781448,,695,8
2024-11-22 11:39:44.001,,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.87,1.299879,103.781448,,695,8
2024-11-22 11:39:44.003,,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.322,1.299879,103.781448,,695,8
2024-11-22 11:39:44.009,,SGP-M1,5G-NR,-91.2,-12.4,29.905,7.464,1.299879,103.781448,,695,8
2024-11-22 11:39:44.010,,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.308,1.299879,103.781448,,695,8
2024-11-22 11:39:44.012,,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.308,1.299909,103.781454,,695,9
2024-11-22 11:39:44.017,,SGP-M1,5G-NR,-91.2,-12.4,29.905,,1.299909,103.781454,,695,9
2024-11-22 11:39:44.040,,SGP-M1,5G-NR,-91.2,-12.4,29.905,0.817,1.299909,103.781454,,695,9
2024-11-22 11:39:44.043,,SGP-M1,5G-NR,-91.2,-12.4,29.905,1.541,1.299909,103.781454,,695,9
2024-11-22 11:39:44.047,,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.534,1.299909,103.781454,,695,9
2024-11-22 11:39:44.051,,SGP-M1,5G-NR,-91.2,-12.4,29.905,6.136,1.299909,103.781454,,695,9
2024-11-22 11:39:44.055,,SGP-M1,5G-NR,-91.2,-12.4,29.905,5.61,1.299909,103.781454,,695,9
2024-11-22 11:39:44.057,,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.202,1.299909,103.781454,,695,9
2024-11-22 11:39:44.058,,SGP-M1,5G-NR,-91.2,-12.4,29.905,3.534,1.299909,103.781454,,695,9
2024-11-22 11:39:44.062,,SGP-M1,5G-NR,-91.2,-12.4,29.905,5.736,1.299909,103.781454,,695,9
2024-11-22 11:39:44.064,,SGP-M1,5G-NR,-91.2,-12.4,29.905,2.451,1.299909,103.781454,,695,9
2024-11-22 11:39:44.070,,SGP-M1,5G-NR,-91.2,-12.4,29.905,1.163,1.299909,103.781454,,695,9
2024-11-22 11:39:44.458,,SGP-M1,5G-NR,-91.2,-12.4,29.905,24.845,1.299909,103.781454,,695,9
2024-11-22 11:39:44.495,,SGP-M1,5G-NR,-89.6,-12.9,29.905,24.845,1.299909,103.781454,,695,9
2024-11-22 11:39:44.501,,SGP-M1,5G-NR,-89.6,-12.9,29.892,24.845,1.299909,103.781454,,695,9
2024-11-22 11:39:44.517,,SGP-M1,5G-NR,-89.6,-12.9,29.892,24.845,1.299925,103.781460,,695,9
2024-11-22 11:39:44.955,,SGP-M1,5G-NR,-89.6,-12.9,29.892,30.782,1.299925,103.781460,,695,9
2024-11-22 11:39:44.981,,SGP-M1,5G-NR,-88.7,-12.4,29.892,30.782,1.299925,103.781460,,695,9
2024-11-22 11:39:45.001,,SGP-M1,5G-NR,-88.7,-12.4,29.923,30.782,1.299925,103.781460,,695,9
2024-11-22 11:39:45.022,,SGP-M1,5G-NR,-88.7,-12.4,29.923,30.782,1.299940,103.781466,,695,9
2024-11-22 11:39:45.456,,SGP-M1,5G-NR,-88.7,-12.4,29.923,30.751,1.299940,103.781466,,695,9
2024-11-22 11:39:45.499,,SGP-M1,5G-NR,-88.7,-12.4,29.878,30.751,1.299940,103.781466,,695,9
2024-11-22 11:39:45.529,,SGP-M1,5G-NR,-88.7,-12.4,29.878,30.751,1.299954,103.781478,,695,9
2024-11-22 11:39:45.532,,SGP-M1,5G-NR,-85.8,-11.5,29.878,30.751,1.299954,103.781478,,695,9
2024-11-22 11:39:45.956,,SGP-M1,5G-NR,-85.8,-11.5,29.878,30.347,1.299954,103.781478,,695,9
2024-11-22 11:39:46.000,,SGP-M1,5G-NR,-85.8,-11.5,29.887,30.347,1.299954,103.781478,,695,9
2024-11-22 11:39:46.032,,SGP-M1,5G-NR,-86.2,-11.6,29.887,30.347,1.299954,103.781478,,695,9
2024-11-22 11:39:46.036,,SGP-M1,5G-NR,-86.2,-11.6,29.887,30.347,1.299968,103.781490,,695,11
2024-11-22 11:39:46.461,,SGP-M1,5G-NR,-86.2,-11.6,29.887,29.716,1.299968,103.781490,,695,11
2024-11-22 11:39:46.500,,SGP-M1,5G-NR,-86.2,-11.6,29.907,29.716,1.299968,103.781490,,695,11
2024-11-22 11:39:46.552,,SGP-M1,5G-NR,-89.9,-12.7,29.907,29.716,1.299968,103.781490,,695,11
2024-11-22 11:39:46.961,,SGP-M1,5G-NR,-89.9,-12.7,29.907,30.868,1.299968,103.781490,,695,11
2024-11-22 11:39:46.999,,SGP-M1,5G-NR,-89.9,-12.7,30.722,30.868,1.299968,103.781490,,695,11
2024-11-22 11:39:47.021,,SGP-M1,5G-NR,-89.9,-12.7,30.722,30.868,1.299993,103.781515,,695,10
2024-11-22 11:39:47.060,,SGP-M1,5G-NR,-91.6,-14.1,30.722,30.868,1.299993,103.781515,,695,10
2024-11-22 11:39:47.462,,SGP-M1,5G-NR,-91.6,-14.1,30.722,31.473,1.299993,103.781515,,695,10
2024-11-22 11:39:47.500,,SGP-M1,5G-NR,-91.6,-14.1,30.072,31.473,1.299993,103.781515,,695,10
2024-11-22 11:39:47.521,,SGP-M1,5G-NR,-91.6,-14.1,30.072,31.473,1.300030,103.781513,,695,9
2024-11-22 11:39:47.570,,SGP-M1,5G-NR,-96.2,-15.6,30.072,31.473,1.300030,103.781513,,695,9
2024-11-22 11:39:47.962,,SGP-M1,5G-NR,-96.2,-15.6,30.072,30.189,1.300030,103.781513,,695,9
2024-11-22 11:39:48.000,,SGP-M1,5G-NR,-96.2,-15.6,29.609,30.189,1.300030,103.781513,,695,9
2024-11-22 11:39:48.021,,SGP-M1,5G-NR,-96.2,-15.6,29.609,30.189,1.300066,103.781510,,695,9
2024-11-22 11:39:48.049,,SGP-M1,5G-NR,-91.7,-13.0,29.609,30.189,1.300066,103.781510,,695,9
2024-11-22 11:39:48.463,,SGP-M1,5G-NR,-91.7,-13.0,29.609,30.163,1.300066,103.781510,,695,9
2024-11-22 11:39:48.500,,SGP-M1,5G-NR,-91.7,-13.0,29.977,30.163,1.300066,103.781510,,695,9
2024-11-22 11:39:48.570,,SGP-M1,5G-NR,-93.4,-12.2,29.977,30.163,1.300066,103.781510,,695,9
2024-11-22 11:39:48.963,,SGP-M1,5G-NR,-93.4,-12.2,29.977,29.934,1.300066,103.781510,,695,9
