Name;Longitude;Latitude;PosErrorDirection;PosErrorLambda1;PosErrorLambda2;IsDirected;Direction;ConfInt;Power;MaxPowerUsedForTowerEstimationbyPE;TowerID;MCC;MNC;TAC;CellIdentity;NRARFCN;PhyCellID;SSBIndex;NCI
gNodeB - ID:33114251/187 PCI:71;103.900572;1.298126;0.000000;18.220005;18.220005;1;0;360;30;-73.2;66;525;3;23001;4754363;431050;71;0;8477248443
gNodeB - ID:41920651/186 PCI:370;103.886504;1.295687;-178.751770;10.296962;10.194230;1;0;360;30;-69.0;175;525;3;12001;11045818;431050;370;0;10731686842
gNodeB - ID:41920651/187 PCI:369;103.883432;1.295588;-1.350257;5.527476;5.432370;1;0;360;30;-73.0;297;525;3;12001;11045819;431050;369;0;10731686843
gNodeB - ID:41926731/186 PCI:434;103.966363;1.328365;-154.434448;0.427338;0.210291;1;120;217;30;-64.6;48;525;3;22001;12602298;431050;434;0;10733243322
gNodeB - ID:41926731/187 PCI:433;103.966363;1.328365;-154.434448;0.427338;0.210291;1;300;231;30;-64.6;48;525;3;22001;12602299;431050;433;0;10733243323
gNodeB - ID:41952331/185 PCI:15;103.905382;1.300636;-14.992794;1.139872;1.087425;1;70;360;30;-55.2;38;525;3;23001;2378681;431050;15;0;10739796921
gNodeB - ID:41952331/186 PCI:16;103.905382;1.300636;-14.992794;1.139872;1.087425;1;250;360;30;-55.2;38;525;3;23001;2378682;431050;16;0;10739796922
gNodeB - ID:42326411/186 PCI:205;103.916787;1.303677;-10.762974;10.283974;10.190632;1;0;360;30;-70.5;31;525;3;23001;14257082;431050;205;0;10835561402
gNodeB - ID:43773131/186 PCI:730;103.962214;1.335115;-57.543919;10.884616;10.265385;1;0;360;30;-62.8;26;525;3;22001;15518650;431050;730;0;11205921722
gNodeB - ID:43949131/186 PCI:374;103.951698;1.312059;-15.859385;0.246494;0.192157;1;260;360;30;-61.3;216;525;3;23001;10243002;431050;374;0;11250977722
gNodeB - ID:44904651/185 PCI:278;103.960886;1.318885;-7.486488;3.814866;2.007509;1;20;123;30;-56.3;7;525;3;23001;3197881;431050;278;0;11495590841
gNodeB - ID:44904651/187 PCI:277;103.961400;1.316995;-60.591999;10.207946;10.200302;1;0;360;30;-51.6;28;525;3;23001;3197883;431050;277;0;11495590843
gNodeB - ID:45014731/185 PCI:668;103.849135;1.274606;-33.602215;0.421630;0.369767;1;0;106;30;-71.4;6;525;3;12001;14601145;431050;668;0;11523771321
gNodeB - ID:45014731/186 PCI:667;103.849135;1.274606;-33.602215;0.421630;0.369767;1;120;101;30;-71.4;6;525;3;12001;14601146;431050;667;0;11523771322
gNodeB - ID:45014731/187 PCI:666;103.849135;1.274606;-33.602215;0.421630;0.369767;1;240;102;30;-71.4;6;525;3;12001;14601147;431050;666;0;11523771323
gNodeB - ID:45702731/185 PCI:416;103.842651;1.274235;-33.430206;3.855188;2.347676;1;100;360;30;-65.9;275;525;3;12001;6179769;431050;416;0;11699899321
gNodeB - ID:46200651/185 PCI:319;103.969022;1.321127;-43.691441;0.184639;0.137693;1;60;91;30;-47.7;9;525;3;22001;16206777;431050;319;0;11827366841
gNodeB - ID:46200651/186 PCI:318;103.969022;1.321127;-43.691441;0.184639;0.137693;1;300;86;30;-47.7;9;525;3;22001;16206778;431050;318;0;11827366842
