Time,Network,Operator,Technology,MCC,MNC,Network Thrpt DL,Network Thrpt UL,IP Thrpt UL,IP Thrpt DL,Cell ID,gNB,Num Beams,Num SCS Carrier​ (PCell),PCI​ (PCell),SS-RSRP,SS-RSRQ),SS-SINR,Beam Index​ (PCell),Max MIMO-Layers CB PUSCH,Lat,Long,Speed o.g.,SCS​ (PCell),Bandwidth DL​ (PCell),Bandwidth UL​ (PCell),TDD Slot Pattern​ (PCell),CSI-RSRP,Num PUSCH Carrier,Num Slots​ (PCell),Bytes Transferred​ (PCell),Sched PUSCH Thp​ (PCell),Net PUSCH Thp​ (PCell),Retransmission​ (PCell),Average TB Size​ (PCell),Num of TBs​ (PCell),Average RBs​ (PCell),Average MCS Index​ (PCell),PUSCH TxPower​ (PCell),PUSCH Pathloss​ (PCell),Max Num Layers​ (PCell),Modulation​ (PCell),Layer​ (PCell),MAC UL Thp​ (PCell)
05:28.8,Emergency only,,5G-NR,1,1,0.099,32.732,30.019,0,1703937,104,,1,21,-108.1,-14.3,6.5,0,,1.299889,103.78126,0,30,47.88,47.88,D3-d12f2-U1,,1,200,2099084,32.732,32.732,0,10495.4,200,130,27,21.9,93.4,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.0,Emergency only,,5G-NR,1,1,0.099,17.846,30.019,0,1703937,104,,1,21,-108.1,-14.3,6.5,0,,1.299889,103.78126,0,30,47.88,47.88,D3-d12f2-U1,,1,200,2099084,32.732,32.732,0,10495.4,200,130,27,21.9,93.4,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.0,Emergency only,,5G-NR,1,1,0.099,17.846,30.019,0,1703937,104,,1,21,-108.1,-14.3,6.5,0,,1.299889,103.78126,0,30,47.88,47.88,D3-d12f2-U1,,1,125,1165013,17.846,17.846,0,9320.1,125,116,27,21.5,97.5,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.0,Emergency only,,5G-NR,1,1,0.099,17.846,10.437,0,1703937,104,,1,21,-108.1,-14.3,6.5,0,,1.299889,103.78126,0,30,47.88,47.88,D3-d12f2-U1,,1,125,1165013,17.846,17.846,0,9320.1,125,116,27,21.5,97.5,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.0,Emergency only,,5G-NR,1,1,0.099,17.846,10.437,0.056,1703937,104,,1,21,-108.1,-14.3,6.5,0,,1.299889,103.78126,0,30,47.88,47.88,D3-d12f2-U1,,1,125,1165013,17.846,17.846,0,9320.1,125,116,27,21.5,97.5,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.2,Emergency only,,5G-NR,1,1,0.093,17.846,10.437,0.056,1703937,104,,1,21,-108.1,-14.3,6.5,0,,1.299889,103.78126,0,30,47.88,47.88,D3-d12f2-U1,,1,125,1165013,17.846,17.846,0,9320.1,125,116,27,21.5,97.5,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.3,Emergency only,,5G-NR,1,1,0.093,17.846,10.437,0.056,1703937,104,,1,21,-112.5,-15.7,7.4,0,,1.299889,103.78126,0,30,47.88,47.88,D3-d12f2-U1,,1,125,1165013,17.846,17.846,0,9320.1,125,116,27,21.5,97.5,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.3,Emergency only,,5G-NR,1,1,0.093,17.846,10.437,0.056,1703937,104,,1,21,-112.5,-15.7,7.4,0,,1.299891,103.781256,0,30,47.88,47.88,D3-d12f2-U1,,1,125,1165013,17.846,17.846,0,9320.1,125,116,27,21.5,97.5,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.5,Emergency only,,5G-NR,1,1,0.093,19.252,10.437,0.056,1703937,104,,1,21,-112.5,-15.7,7.4,0,,1.299891,103.781256,0,30,47.88,47.88,D3-d12f2-U1,,1,125,1165013,17.846,17.846,0,9320.1,125,116,27,21.5,97.5,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.5,Emergency only,,5G-NR,1,1,0.093,19.252,10.437,0.056,1703937,104,,1,21,-112.5,-15.7,7.4,0,,1.299891,103.781256,0,30,47.88,47.88,D3-d12f2-U1,,1,127,1234663,19.252,19.252,0,9721.8,127,120,27,19.1,92,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.5,Emergency only,,5G-NR,1,1,0.093,19.252,24.569,0.056,1703937,104,,1,21,-112.5,-15.7,7.4,0,,1.299891,103.781256,0,30,47.88,47.88,D3-d12f2-U1,,1,127,1234663,19.252,19.252,0,9721.8,127,120,27,19.1,92,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.5,Emergency only,,5G-NR,1,1,0.093,19.252,24.569,0.007,1703937,104,,1,21,-112.5,-15.7,7.4,0,,1.299891,103.781256,0,30,47.88,47.88,D3-d12f2-U1,,1,127,1234663,19.252,19.252,0,9721.8,127,120,27,19.1,92,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.7,Emergency only,,5G-NR,1,1,0.137,19.252,24.569,0.007,1703937,104,,1,21,-112.5,-15.7,7.4,0,,1.299891,103.781256,0,30,47.88,47.88,D3-d12f2-U1,,1,127,1234663,19.252,19.252,0,9721.8,127,120,27,19.1,92,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.8,Emergency only,,5G-NR,1,1,0.137,19.252,24.569,0.007,1703937,104,,1,21,-105.9,-11.7,8.2,0,,1.299891,103.781256,0,30,47.88,47.88,D3-d12f2-U1,,1,127,1234663,19.252,19.252,0,9721.8,127,120,27,19.1,92,1,64-QAM: 100.0,1 Layer: 100.0,
05:29.8,Emergency only,,5G-NR,1,1,0.137,19.252,24.569,0.007,1703937,104,,1,21,-105.9,-11.7,8.2,0,,1.299894,103.781253,0,30,47.88,47.88,D3-d12f2-U1,,1,127,1234663,19.252,19.252,0,9721.8,127,120,27,19.1,92,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.0,Emergency only,,5G-NR,1,1,0.137,32.872,24.569,0.007,1703937,104,,1,21,-105.9,-11.7,8.2,0,,1.299894,103.781253,0,30,47.88,47.88,D3-d12f2-U1,,1,127,1234663,19.252,19.252,0,9721.8,127,120,27,19.1,92,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.0,Emergency only,,5G-NR,1,1,0.137,32.872,24.569,0.007,1703937,104,,1,21,-105.9,-11.7,8.2,0,,1.299894,103.781253,0,30,47.88,47.88,D3-d12f2-U1,,1,202,2120592,32.872,32.872,0,10498,202,130,27,21.2,90.3,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.0,Emergency only,,5G-NR,1,1,0.137,32.872,32.352,0.007,1703937,104,,1,21,-105.9,-11.7,8.2,0,,1.299894,103.781253,0,30,47.88,47.88,D3-d12f2-U1,,1,202,2120592,32.872,32.872,0,10498,202,130,27,21.2,90.3,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.0,Emergency only,,5G-NR,1,1,0.137,32.872,32.352,0,1703937,104,,1,21,-105.9,-11.7,8.2,0,,1.299894,103.781253,0,30,47.88,47.88,D3-d12f2-U1,,1,202,2120592,32.872,32.872,0,10498,202,130,27,21.2,90.3,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.2,Emergency only,,5G-NR,1,1,0.114,32.872,32.352,0,1703937,104,,1,21,-105.9,-11.7,8.2,0,,1.299894,103.781253,0,30,47.88,47.88,D3-d12f2-U1,,1,202,2120592,32.872,32.872,0,10498,202,130,27,21.2,90.3,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.3,Emergency only,,5G-NR,1,1,0.114,32.872,32.352,0,1703937,104,,1,21,-102.4,-11.6,6.5,0,,1.299894,103.781253,0,30,47.88,47.88,D3-d12f2-U1,,1,202,2120592,32.872,32.872,0,10498,202,130,27,21.2,90.3,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.3,Emergency only,,5G-NR,1,1,0.114,32.872,32.352,0,1703937,104,,1,21,-102.4,-11.6,6.5,0,,1.299896,103.781249,0,30,47.88,47.88,D3-d12f2-U1,,1,202,2120592,32.872,32.872,0,10498,202,130,27,21.2,90.3,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.5,Emergency only,,5G-NR,1,1,0.114,31.166,32.352,0,1703937,104,,1,21,-102.4,-11.6,6.5,0,,1.299896,103.781249,0,30,47.88,47.88,D3-d12f2-U1,,1,202,2120592,32.872,32.872,0,10498,202,130,27,21.2,90.3,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.5,Emergency only,,5G-NR,1,1,0.114,31.166,32.352,0,1703937,104,,1,21,-102.4,-11.6,6.5,0,,1.299896,103.781249,0,30,47.88,47.88,D3-d12f2-U1,,1,200,1998374,31.166,31.166,0,9991.9,200,124,27,21,91,1,64-QAM: 100.0,1 Layer: 100.0,
05:30.5,Emergency only,,5G-NR,1,1,0.114,31.166,32.029,0,1703937,104,,1,21,-102.4,-11.6,6.5,0,,1.299896,103.781249,0,30,47.88,47.88,D3-d12f2-U1,,1,200,1998374,31.166,31.166,0,9991.9,200,124,27,21,91,1,64-QAM: 100.0,1 Layer: 100.0,
