Time,Network,Operator,Technology,MCC,MNC,Network Thrpt DL,Network Thrpt UL,IP Thrpt UL,IP Thrpt DL,Cell ID,gNB,Num Beams,Num SCS Carrier​ (PCell),PCI​ (PCell),SS-RSRP,SS-RSRQ,SS-SINR​ (PCell),Beam Index​ (PCell),Max MIMO-Layers CB PUSCH,Lat,Long,Speed o.g.,SCS​ (PCell),Bandwidth DL​ (PCell),Bandwidth UL​ (PCell),TDD Slot Pattern​ (PCell),CSI-RSRP,Num PUSCH Carrier,Num Slots​ (PCell),Bytes Transferred​ (PCell),Sched PUSCH Thp​ (PCell),Net PUSCH Thp​ (PCell),Retransmission​ (PCell),Average TB Size​ (PCell),Num of TBs​ (PCell),Average RBs​ (PCell),Average MCS Index​ (PCell),PUSCH TxPower​ (PCell),PUSCH Pathloss​ (PCell),Max Num Layers​ (PCell),Modulation​ (PCell),Layer​ (PCell),MAC UL Thp​ (PCell)
25:04.3,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299939,103.781319,0,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.3,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299928,103.781344,0,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.4,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299897,103.781379,2,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.4,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299858,103.781427,0,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.4,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299855,103.781431,2,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.4,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.29985,103.781435,3,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.4,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299879,103.781411,0,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.4,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299882,103.781414,2,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.5,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.299888,103.781413,2,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
25:04.5,Home network,SGP-M1,5G-NR,525,3,0.002,0.042,0.001,0.001,11817042923,721255,,1,7,-90.8,-13.8,4.2,5,,1.29989,103.781412,2,30,98.28,98.28,D3-d10f2u2-U1,,1,1,161,0.042,0.042,0,161,1,3,11,20.5,108.3,1,64-QAM: 100.0,1 Layer: 100.0,
